,char0,char1,char2,char3,char4
a,0.058365758754863814,0.1669260700389105,0.11945525291828794,0.0688715953307393,0.058365758754863814
b,0.07276264591439689,0.005058365758754864,0.02178988326848249,0.01634241245136187,0.07276264591439689
c,0.08326848249027237,0.014007782101167316,0.03073929961089494,0.050972762645914396,0.08326848249027237
d,0.050972762645914396,0.00894941634241245,0.031906614785992216,0.04085603112840467,0.050972762645914396
e,0.029571984435797664,0.12762645914396886,0.0715953307392996,0.17237354085603113,0.029571984435797664
f,0.054474708171206226,0.0015564202334630351,0.007003891050583658,0.008560311284046693,0.054474708171206226
g,0.035408560311284046,0.0038910505836575876,0.030350194552529183,0.026070038910505838,0.035408560311284046
h,0.03735408560311284,0.05019455252918288,0.005058365758754864,0.012062256809338522,0.03735408560311284
i,0.01634241245136187,0.111284046692607,0.09727626459143969,0.06964980544747082,0.01634241245136187
j,0.016731517509727626,,0.0015564202334630351,0.0007782101167315176,0.016731517509727626
k,0.016731517509727626,0.0031128404669260703,0.010505836575875487,0.03385214007782101,0.016731517509727626
l,0.047470817120622566,0.06926070038910506,0.06420233463035019,0.0622568093385214,0.047470817120622566
m,0.05603112840466926,0.009727626459143969,0.03151750972762646,0.028793774319066146,0.05603112840466926
n,0.02178988326848249,0.023735408560311283,0.08638132295719844,0.08093385214007782,0.02178988326848249
o,0.01634241245136187,0.14863813229571984,0.08132295719844358,0.0556420233463035,0.01634241245136187
p,0.06108949416342412,0.01906614785992218,0.021011673151750974,0.021400778210116732,0.06108949416342412
q,0.007392996108949416,0.0015564202334630351,,0.0011673151750972762,0.007392996108949416
r,0.048638132295719845,0.09066147859922179,0.08754863813229571,0.06420233463035019,0.048638132295719845
s,0.12412451361867705,0.013229571984435798,0.041634241245136185,0.05058365758754864,0.12412451361867705
t,0.06809338521400778,0.027237354085603113,0.05797665369649806,0.07470817120622568,0.06809338521400778
u,0.00933852140077821,0.06575875486381323,0.04319066147859922,0.026848249027237352,0.00933852140077821
v,0.021011673151750974,0.005058365758754864,0.021011673151750974,0.012451361867704281,0.021011673151750974
w,0.03696498054474708,0.012451361867704281,0.00933852140077821,0.00894941634241245,0.03696498054474708
x,0.0019455252918287938,0.004280155642023347,0.011284046692607004,0.0019455252918287938,0.0019455252918287938
y,0.005058365758754864,0.01556420233463035,0.012062256809338522,0.005447470817120622,0.005058365758754864
z,0.002723735408560311,0.0011673151750972762,0.004280155642023347,0.004280155642023347,0.002723735408560311
